name,bot #,year,month,day,hour,min,sec,reading count,trial length,amb temp,track motor temp,track drive temp,track current,track rpm,all prof track follow err,conveyer drive temp,conveyer current,conveyer rpm,u asc,u dsc,u ht,u hb,u tcu,u tcd,u bcu,u bcd,l asc,l dsc,l ht,l hb,l tcu,l tcd,l bcu,l bcd
Max,-,-,-,-,-,-,-,586339.0,348.1804833,2586.0,6258.0,850.0,2116.0,7898.0,14392.0,6359.0,430.0,14336.0,103.0,122.0,80.0,283.0,67.0,51.0,66.0,110.0,126.0,505.0,26.0,34.0,85.0,17.0,20.0,372.0
AVG,-,-,-,-,-,-,-,59637.424,32.95458946562133,170.9384,384.9944,269.872,1691.936,6780.976,176.0664,2308.384,122.32,157.024,47.28,43.872,31.072,62.496,20.464,21.48,25.2,32.576,15.496,34.856,3.488,4.528,8.096,2.392,2.56,29.064
STD,-,-,-,-,-,-,-,125875.47509345996,66.45427777265753,254.84372434126965,640.3219387232665,252.93486908688567,480.2901969542191,2193.585444941242,1283.440175223631,2964.192703521973,164.42537281638272,1337.031958891325,31.68178473304444,31.293350834508168,23.027394625224243,57.42296719336543,14.608075539500128,14.881033609609332,17.99507100972823,27.267274489110864,33.05289602264635,85.09943936739631,7.538734385096231,10.202447524190996,18.622923785554743,5.160170039708932,5.709923450139381,72.16756308266424
AVG/STD,-,-,-,-,-,-,-,0.4737811234135993,0.4958986926072715,0.670757737675701,0.6012513030049191,1.0669624199077758,3.522736901001696,3.091275070063039,0.13718317643385408,0.7787563869438182,0.7439241152677654,0.11744221890567616,1.4923401695450085,1.401959164808294,1.3493493513140946,1.0883450134081665,1.4008689881610685,1.44344812084353,1.400383470916939,1.1946921945942623,0.46882427456229075,0.4095914175123719,0.4626771314420671,0.4438150737128195,0.4347330254489808,0.46355061588918584,0.44834226279119554,0.4027294085946712
iBot123_20190306_082604,123.0,2019.0,3.0,6.0,8.0,26.0,4.0,15923.0,24.62305,256.0,766.0,550.0,2077.0,7883.0,0.0,6211.0,320.0,0.0,103.0,67.0,63.0,204.0,34.0,45.0,41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot123_20190306_082604,123.0,2019.0,3.0,6.0,8.0,26.0,4.0,15923.0,24.62305,256.0,766.0,550.0,2077.0,7883.0,0.0,6211.0,320.0,0.0,103.0,67.0,63.0,204.0,34.0,45.0,41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot123_20190306_082604,123.0,2019.0,3.0,6.0,8.0,26.0,4.0,15923.0,24.62305,256.0,766.0,550.0,2077.0,7883.0,0.0,6211.0,320.0,0.0,103.0,67.0,63.0,204.0,34.0,45.0,41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190617_075902,107.0,2019.0,6.0,17.0,7.0,59.0,2.0,69264.0,-0.000383333,299.0,929.0,850.0,2018.0,6237.0,88.0,6253.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,149.0,19.0,26.0,38.0,12.0,18.0,134.0
iBot110_20190227_084944,110.0,2019.0,2.0,27.0,8.0,49.0,44.0,3753.0,8.563,250.0,575.0,420.0,1813.0,7766.0,0.0,6199.0,270.0,0.0,70.0,63.0,51.0,71.0,24.0,25.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot110_20190301_145030,110.0,2019.0,3.0,1.0,14.0,50.0,30.0,5095.0,-0.005233333,260.0,529.0,400.0,1894.0,7744.0,0.0,6205.0,270.0,0.0,56.0,59.0,74.0,50.0,67.0,47.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
