name,bot #,year,month,day,hour,min,sec,reading_count,slow_pos_err_avg,slow_pos_err_std,slow_pos_err_avg+3s,slow_vel_err_avg,slow_vel_err_std,slow_vel_err_avg+3s,slow_phaseA_avg,slow_phaseA_std,slow_phaseA_avg+3s,fast_pos_err_avg,fast_pos_err_std,fast_pos_err_avg+3s,fast_vel_err_avg,fast_vel_err_std,fast_vel_err_avg+3s,fast_phaseA_avg,fast_phaseA_std,fast_phaseA_avg+3s
AVG,-,-,-,-,-,-,-,-,-,-,1.239094373693382,-,-,612.0869619127815,-,-,2.5174844648415657,-,-,2167.292469235817,-,-,111514.80593386911,-,-,34.84155540901869
STD,-,-,-,-,-,-,-,-,-,-,0.809300035591394,-,-,273.1787476458332,-,-,0.6337970269887065,-,-,1243.5810544268406,-,-,58740.46164227986,-,-,10.611816192592695
AVG + 3*STD,-,-,-,-,-,-,-,-,-,-,3.6669944804675634,-,-,1431.6232048502811,-,-,4.418875545807685,-,-,5898.035632516339,-,-,287736.19086070865,-,-,66.67700398679678
iBot126_20190412_091630,126.0,2019.0,4.0,12.0,9.0,16.0,30.0,1023.0,0.057142857,0.23241742,0.754395117,174.9644156,153.2348547,634.6689796,1.398085133,0.705531876,3.514680761,291.032967,471.0497282,1704.182152,16016.59534,25378.71556,92152.74204,5.585552699,10.62359928,37.45635054
iBot120_20190404_103353,120.0,2019.0,4.0,4.0,10.0,33.0,53.0,1023.0,0.623376623,0.541000256,2.246377392,152.6251948,106.7478794,472.868833,1.10758445,0.622489466,2.975052848,767.0533752,971.5869339,3681.814177,36329.93888,47541.82982,178955.4283,7.032298405,11.54592674,41.67007863
iBot120_20190404_103808,120.0,2019.0,4.0,4.0,10.0,38.0,8.0,1023.0,0.648578811,0.553385057,2.308733983,148.2919897,112.9494358,487.140297,1.113643563,0.633138689,3.013059629,773.1275591,970.1377123,3683.540696,36618.54829,47948.37547,180463.6747,7.644112596,12.19986356,44.24370327
iBot120_20190404_104301,120.0,2019.0,4.0,4.0,10.0,43.0,1.0,1023.0,0.621134021,0.53145673,2.215504211,158.2,119.4239899,516.4719696,1.093770233,0.619700898,2.952872926,776.0283912,972.1601454,3692.508827,36885.60229,47978.65599,180821.5703,7.090316495,11.52397373,41.66223769
iBot120_20190404_105127,120.0,2019.0,4.0,4.0,10.0,51.0,27.0,1023.0,0.605194805,0.540036675,2.22530483,172.0651948,121.4301708,536.3557073,1.11850093,0.623858894,2.990077612,772.0973312,972.3603018,3689.178237,36565.76921,47600.11014,179366.0996,7.538547226,11.904709,43.25267423
iBot121_20190311_133053,121.0,2019.0,3.0,11.0,13.0,30.0,53.0,1023.0,0.015503876,0.123705491,0.38662035,125.9421189,104.4546276,439.3060017,0.458250266,0.264659787,1.252229627,475.3511811,629.8290473,2364.838323,26506.83461,35412.92765,132745.6176,6.045854423,11.11145511,39.38021976
iBot120_20190401_114343,120.0,2019.0,4.0,1.0,11.0,43.0,43.0,1023.0,0.609819121,0.543646028,2.240757205,172.348062,118.4525264,527.7056411,1.202901407,0.665321048,3.198864552,739.7055118,949.4706262,3588.11739,36101.94703,45734.79139,173306.3212,7.54065318,11.600335,42.34165817
iBot118_20190306_112234,118.0,2019.0,3.0,6.0,11.0,22.0,34.0,1023.0,0.010416667,0.101794544,0.315800298,194.2677083,140.2459978,615.0057017,0.861071477,0.431264751,2.154865731,288.0566265,681.8814021,2333.700833,13798.6748,33715.02066,114943.7368,2.935394024,8.195397117,27.52158538
iBot118_20190311_092920,118.0,2019.0,3.0,11.0,9.0,29.0,20.0,1023.0,0.049350649,0.21688093,0.699993438,181.2633766,138.9640462,598.1555151,0.904259561,0.452691761,2.262334844,733.44427,922.4355454,3500.750906,34987.53318,45723.48028,172157.974,6.998766742,11.66203244,41.98486406
iBot121_20190311_104236,121.0,2019.0,3.0,11.0,10.0,42.0,36.0,1023.0,0.015544041,0.123863517,0.387134592,172.8523316,126.0532776,551.0121643,0.487135479,0.271845171,1.302670992,460.2720126,613.8771273,2301.903395,25572.39559,34490.14462,129042.8294,5.673266383,10.57216481,37.38976082
iBot124_20190311_102226,124.0,2019.0,3.0,11.0,10.0,22.0,26.0,1023.0,0.528497409,0.505004895,2.043512095,157.6282383,126.7552228,537.8939066,1.067527723,0.556604146,2.737340163,552.8301887,754.1864258,2815.389466,27419.32094,37320.87445,139381.9443,6.828598971,11.58847415,41.59402141
iBot123_20190312_105615,123.0,2019.0,3.0,12.0,10.0,56.0,15.0,1023.0,0.152849741,0.360309626,1.233778619,182.9531088,128.3865974,568.112901,1.125063016,0.582053447,2.871223357,650.5471698,864.0209949,3242.610155,34036.62222,44495.1266,167522.002,7.271496478,11.9624077,43.15871956
iBot118_20190314_095231,118.0,2019.0,3.0,14.0,9.0,52.0,31.0,1023.0,0.023376623,0.151293127,0.477256005,169.8223377,139.4911996,588.2959364,0.81020417,0.409934008,2.040006195,741.7786499,918.6898586,3497.848226,35251.48493,46047.20886,173393.1115,7.674425005,12.23974132,44.39364897
iBot116_20190319_075723,116.0,2019.0,3.0,19.0,7.0,57.0,23.0,1023.0,0.3984375,0.495512664,1.884975492,438.184375,299.0840409,1335.436498,0.693169695,0.497026391,2.184248868,16.24294671,27.29435291,98.12600543,1872.631982,3926.913549,13653.37263,2.417859523,5.271205249,18.23147527
iBot131_20190508_145059,131.0,2019.0,5.0,8.0,14.0,50.0,59.0,1023.0,0.129198966,0.335854226,1.136761645,81.17105943,57.46474422,253.5652921,0.797416025,0.398360243,1.992496755,580.4267717,774.5425141,2904.054314,28797.9675,39342.27311,146824.7868,6.370019735,11.25435144,40.13307405
iBot132_20190510_074140,132.0,2019.0,5.0,10.0,7.0,41.0,40.0,1023.0,0.020725389,0.142648391,0.448670561,133.7028497,110.281986,464.5488077,0.987054023,0.495743813,2.474285461,257.3066038,416.427565,1506.589299,14322.06645,22877.25948,82953.84488,5.319793188,10.29784537,36.2133293
iBot132_20190521_093549,132.0,2019.0,5.0,21.0,9.0,35.0,49.0,1023.0,0.774793388,0.78078964,3.117162309,157.4657025,130.4118502,548.701253,1.066877453,0.531828939,2.662364271,14.41449814,18.88052049,71.0560596,749.5961072,1847.628568,6292.481812,1.933759824,2.233855319,8.635325779
iBot133_20190509_101445,133.0,2019.0,5.0,9.0,10.0,14.0,45.0,1023.0,0.03125,0.174219633,0.553908898,138.4643229,82.93374595,387.2655608,1.003749954,0.49747017,2.496160463,276.8510972,436.067835,1585.054602,15314.21003,24151.50761,87768.73286,5.011907886,10.05044755,35.16325054
iBot134_20190510_102026,134.0,2019.0,5.0,10.0,10.0,20.0,26.0,1023.0,0.049350649,0.21688093,0.699993438,148.6244156,94.03748519,430.7368712,1.245165097,0.617790534,3.098536699,271.6169545,439.9862,1591.575554,14855.94954,23527.82669,85439.42962,5.437255065,10.47868473,36.87330927
iBot135_20190510_111454,135.0,2019.0,5.0,10.0,11.0,14.0,54.0,1023.0,0.043927649,0.205199448,0.659525992,251.8369509,144.2557336,684.6041518,1.147641039,0.55850305,2.823150189,296.480315,466.0194051,1694.53853,16219.10795,25098.59202,91514.88401,5.19802495,10.18261446,35.74586834
